time,T,RH,light
2017-08-29 18:45:00-08:00,32.026969696969694,80,0
2017-08-29 19:00:00-08:00,31.7,80,0
2017-08-29 19:15:00-08:00,31.40740327380952,80,0
2017-08-29 19:30:00-08:00,31.154001322751323,80,0
2017-08-29 19:45:00-08:00,30.898598710317465,80,0
2017-08-29 20:00:00-08:00,30.6,80,0
2017-08-29 20:15:00-08:00,30.23644402472528,80,0
2017-08-29 20:30:00-08:00,29.822779304029307,80,0
2017-08-29 20:45:00-08:00,29.372724931318682,80,0
2017-08-29 21:00:00-08:00,28.9,80,0
2017-08-29 21:15:00-08:00,28.330734890109888,80,0
2017-08-29 21:30:00-08:00,27.67811355311355,80,0
2017-08-29 21:45:00-08:00,27.08643543956044,80,0
2017-08-29 22:00:00-08:00,26.7,80,0
2017-08-29 22:15:00-08:00,26.473660714285714,80,0
2017-08-29 22:30:00-08:00,26.28214285714286,80,0
2017-08-29 22:45:00-08:00,26.149553571428573,80,0
2017-08-29 23:00:00-08:00,26.1,80,0
2017-08-29 23:15:00-08:00,26.1,80,0
2017-08-29 23:30:00-08:00,26.1,80,0
2017-08-29 23:45:00-08:00,26.1,80,0
2017-08-30 00:00:00-08:00,26.1,80,0
2017-08-30 00:15:00-08:00,26.054963235294117,80,0
2017-08-30 00:30:00-08:00,25.938235294117646,80,0
2017-08-30 00:45:00-08:00,25.777389705882353,80,0
2017-08-30 01:00:00-08:00,25.6,80,0
2017-08-30 01:15:00-08:00,25.346323529411766,80,0
2017-08-30 01:30:00-08:00,25.0,80,0
2017-08-30 01:45:00-08:00,24.653676470588234,80,0
2017-08-30 02:00:00-08:00,24.4,80,0
2017-08-30 02:15:00-08:00,24.222610294117647,80,0
2017-08-30 02:30:00-08:00,24.061764705882354,80,0
2017-08-30 02:45:00-08:00,23.945036764705883,80,0
2017-08-30 03:00:00-08:00,23.9,80,0
2017-08-30 03:15:00-08:00,23.978125,80,0
2017-08-30 03:30:00-08:00,24.15,80,0
2017-08-30 03:45:00-08:00,24.321875,80,0
2017-08-30 04:00:00-08:00,24.4,80,0
2017-08-30 04:15:00-08:00,24.321875,80,0
